# TETO Migration History
# 格式：时间戳 | migration 文件名 | 说明

## TETO 1.5（已归档至 sql/保留存档sql/sql1.5/）
2026-04-29 | 001_drop_items_goal_id.sql | 移除旧 items.goal_id
2026-04-29 | 002_create_user_rules.sql | 用户规则表
2026-04-29 | 003_period_rule_and_data_nature.sql | 规律/推断字段
2026-04-29 | 004_record_backbone_fields.sql | 三层九组字段
2026-04-29 | 005_record_type_converge_to_four.sql | 类型收敛为4种
2026-04-30 | 004b_record_alignment.sql | 对齐补充字段
2026-05-02 | 006_goal_rule_refactor.sql | 目标引擎重构
2026-05-03 | 007_add_performance_indexes.sql | 性能索引

## TETO 1.6（已执行 — 本地 bootstrap sql/bootstrap/）
2026-07-18 | 016_corrections.sql | 用户纠错记录表
2026-07-18 | 017_trace_summaries.sql | Trace 摘要表
2026-07-18 | 018_decision_logs.sql | 决策日志表
2026-07-18 | 019_feature_flags.sql | 功能开关表
2026-07-18 | 020_input_id.sql | input_id 体系
2026-07-18 | 021_corrections_input_id.sql | corrections.input_id
2026-07-18 | 022_corrections_rule_id.sql | corrections.rule_id
2026-07-18 | 023_inputs.sql | inputs 主表
2026-07-18 | 024_input_units.sql | input_units 表
2026-07-18 | 025_schema_alignment.sql | TS/SQL 对齐
2026-07-18 | 026_errors.sql | errors 表
2026-07-18 | 027_record_categories.sql | 记录分类
2026-07-18 | 028_todos.sql | todos
2026-07-18 | 029_recurring_activities.sql | 常用事项
2026-07-18 | 030_project_notes.sql | 项目笔记
2026-07-18 | 031_items_parent.sql | items.parent_item_id
2026-07-18 | 032_records_tool_label.sql | records.tool_label
2026-07-18 | 033_user_tools.sql | user_tools
2026-07-18 | 034_activity_sessions_events.sql | activity sessions/events
2026-07-18 | 035_records_related_objects.sql | related_objects
2026-07-18 | 036_user_rules_extend.sql | user_rules 扩展
2026-07-18 | 037_records_display_no.sql | display_no
2026-07-18 | 038_record_notes_array.sql | notes array
2026-07-18 | 039_function_tag_scope.sql | function tag scope
2026-07-18 | 040_finance_accounts.sql | finance_accounts
